Topic;;Title;;Published;;Viewership;;Description;;Skills
Artificial-Intelligence-Foundations;;LinkedIn AI Academy AI-100: 1 Demystifying AI;;2023-05-04;;31664;;Learn what artificial intelligence is, a brief history of the field, the variety of ways in which AI touches our lives today, and the possibilities that lay ahead of us.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Google Cloud Digital Cloud Leader Cert Prep: 3 Innovating with Google Cloud Artificial Intelligence;;2024-03-13;;5228;;Explore topics related to the AI and ML solutions available through Google Cloud and prepare for the Google Cloud Digital Leader exam.;;Google Cloud Platform (GCP)
Artificial-Intelligence-Foundations;;Google Cloud Digital Cloud Leader Cert Prep: 3 Innovating with Google Cloud Artificial Intelligence;;2024-03-13;;5228;;Explore topics related to the AI and ML solutions available through Google Cloud and prepare for the Google Cloud Digital Leader exam.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Introducing Semantic Kernel: Building AI-Based Apps;;2023-03-17;;50880;;Get an overview of Semantic Kernel (SK), the latest addition to the Microsoft AI ecosystem that leverages LLMs and AI models to revolutionize software development.;;AI Software Development
Artificial-Intelligence-Foundations;;Introducing Semantic Kernel: Building AI-Based Apps;;2023-03-17;;50880;;Get an overview of Semantic Kernel (SK), the latest addition to the Microsoft AI ecosystem that leverages LLMs and AI models to revolutionize software development.;;Semantic Kernel
Artificial-Intelligence-Foundations;;Introducing Semantic Kernel: Building AI-Based Apps;;2023-03-17;;50880;;Get an overview of Semantic Kernel (SK), the latest addition to the Microsoft AI ecosystem that leverages LLMs and AI models to revolutionize software development.;;Generative AI
Artificial-Intelligence-Foundations;;AI Programming for JavaScript Developers;;2024-04-04;;1693;;Learn how to harness the power of AI in your JavaScript work and remain on the cutting edge of technologies in your career.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;AI Programming for JavaScript Developers;;2024-04-04;;1693;;Learn how to harness the power of AI in your JavaScript work and remain on the cutting edge of technologies in your career.;;JavaScript
Artificial-Intelligence-Foundations;;Data Driven: Harnessing Data and AI to Reinvent Customer Engagement (getAbstract Summary);;2019-11-22;;9838;;Learn how technology can support marketing in the digital era, in this audio-only summary of the popular book by Tom Chavez, Vivek Vaidya, and Chris O’Hara.;;Artificial Intelligence for Business
Artificial-Intelligence-Foundations;;Data Driven: Harnessing Data and AI to Reinvent Customer Engagement (getAbstract Summary);;2019-11-22;;9838;;Learn how technology can support marketing in the digital era, in this audio-only summary of the popular book by Tom Chavez, Vivek Vaidya, and Chris O’Hara.;;Customer Engagement
Artificial-Intelligence-Foundations;;Data Driven: Harnessing Data and AI to Reinvent Customer Engagement (getAbstract Summary);;2019-11-22;;9838;;Learn how technology can support marketing in the digital era, in this audio-only summary of the popular book by Tom Chavez, Vivek Vaidya, and Chris O’Hara.;;Marketing Strategy
Artificial-Intelligence-Foundations;;Data Driven: Harnessing Data and AI to Reinvent Customer Engagement (getAbstract Summary);;2019-11-22;;9838;;Learn how technology can support marketing in the digital era, in this audio-only summary of the popular book by Tom Chavez, Vivek Vaidya, and Chris O’Hara.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;DALL-E: the Creative Process and the Art of Prompting;;2023-06-27;;11700;;Get an overview of how generative AI imaging with tools like DALL-E is changing the world of art, design, and the creative process.;;AI Prompting
Artificial-Intelligence-Foundations;;DALL-E: the Creative Process and the Art of Prompting;;2023-06-27;;11700;;Get an overview of how generative AI imaging with tools like DALL-E is changing the world of art, design, and the creative process.;;Artificial Intelligence for Design
Artificial-Intelligence-Foundations;;DALL-E: the Creative Process and the Art of Prompting;;2023-06-27;;11700;;Get an overview of how generative AI imaging with tools like DALL-E is changing the world of art, design, and the creative process.;;AI Solutions
Artificial-Intelligence-Foundations;;DALL-E: the Creative Process and the Art of Prompting;;2023-06-27;;11700;;Get an overview of how generative AI imaging with tools like DALL-E is changing the world of art, design, and the creative process.;;DALL-E
Artificial-Intelligence-Foundations;;DALL-E: the Creative Process and the Art of Prompting;;2023-06-27;;11700;;Get an overview of how generative AI imaging with tools like DALL-E is changing the world of art, design, and the creative process.;;Creative Design
Artificial-Intelligence-Foundations;;AI Projects with Python, TensorFlow, and NLTK;;2024-03-20;;2913;;Supercharge your technical know-how and start building AI projects using Python, TensorFlow, and NLTK.;;TensorFlow
Artificial-Intelligence-Foundations;;AI Projects with Python, TensorFlow, and NLTK;;2024-03-20;;2913;;Supercharge your technical know-how and start building AI projects using Python, TensorFlow, and NLTK.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;AI Projects with Python, TensorFlow, and NLTK;;2024-03-20;;2913;;Supercharge your technical know-how and start building AI projects using Python, TensorFlow, and NLTK.;;NLTK
Artificial-Intelligence-Foundations;;AI Projects with Python, TensorFlow, and NLTK;;2024-03-20;;2913;;Supercharge your technical know-how and start building AI projects using Python, TensorFlow, and NLTK.;;Python (Programming Language)
Artificial-Intelligence-Foundations;;Foundations of Azure Artificial Intelligence: Concepts, Capabilities, and Implementation;;2024-06-07;;2099;;Get up and running with AI-powered solutions in Microsoft Azure, from preparation and development to deployment and analysis.;;Software Development
Artificial-Intelligence-Foundations;;Foundations of Azure Artificial Intelligence: Concepts, Capabilities, and Implementation;;2024-06-07;;2099;;Get up and running with AI-powered solutions in Microsoft Azure, from preparation and development to deployment and analysis.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Foundations of Azure Artificial Intelligence: Concepts, Capabilities, and Implementation;;2024-06-07;;2099;;Get up and running with AI-powered solutions in Microsoft Azure, from preparation and development to deployment and analysis.;;Microsoft Azure
Artificial-Intelligence-Foundations;;Introduction to AI-Native Vector Databases;;2023-12-14;;4631;;Learn how data and AI professionals can optimize data systems using AI.;;Vector Databases
Artificial-Intelligence-Foundations;;Introduction to AI-Native Vector Databases;;2023-12-14;;4631;;Learn how data and AI professionals can optimize data systems using AI.;;Large Language Models (LLM)
Artificial-Intelligence-Foundations;;Introduction to AI-Native Vector Databases;;2023-12-14;;4631;;Learn how data and AI professionals can optimize data systems using AI.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Building in Azure AI Studio;;2024-06-27;;1397;;Learn how to get started quickly with Azure AI Studio to create AI solutions.;;AI Software Development
Artificial-Intelligence-Foundations;;Building in Azure AI Studio;;2024-06-27;;1397;;Learn how to get started quickly with Azure AI Studio to create AI solutions.;;Azure AI Studio
Artificial-Intelligence-Foundations;;Introduction to Prompt Engineering for Generative AI;;2024-08-28;;6296;;Learn how to craft high-impact prompts for generative AI tools such as Copilot, ChatGPT, Gemini, and Claude, with hands-on practice.;;AI Prompting
Artificial-Intelligence-Foundations;;Introduction to Prompt Engineering for Generative AI;;2024-08-28;;6296;;Learn how to craft high-impact prompts for generative AI tools such as Copilot, ChatGPT, Gemini, and Claude, with hands-on practice.;;Prompt Engineering
Artificial-Intelligence-Foundations;;AI Show: The Latest from Azure Form Recognizer;;2023-05-02;;0;;On this episode of the AI show, explore what the latest prebuilt models and languages in Azure Form Recognizer can do for you and your organization.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;AI Show: The Latest from Azure Form Recognizer;;2023-05-02;;0;;On this episode of the AI show, explore what the latest prebuilt models and languages in Azure Form Recognizer can do for you and your organization.;;Document Processing
Artificial-Intelligence-Foundations;;AI Show: The Latest from Azure Form Recognizer;;2023-05-02;;0;;On this episode of the AI show, explore what the latest prebuilt models and languages in Azure Form Recognizer can do for you and your organization.;;Microsoft Azure
Artificial-Intelligence-Foundations;;AI Meets Accessibility: A Conversation with Ioana Tanase and Christina Mallon;;2024-03-19;;46067;;Join the ongoing conversation about responsible AI considerations for people with  disabilities and accessibility needs.;;IT Accessibility
Artificial-Intelligence-Foundations;;AI Meets Accessibility: A Conversation with Ioana Tanase and Christina Mallon;;2024-03-19;;46067;;Join the ongoing conversation about responsible AI considerations for people with  disabilities and accessibility needs.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Reimagining Skills in the Age of AI;;2024-10-07;;0;;LinkedIn VP Aneesh Raman discusses the role of AI in skills, skills development, upskilling, and reskilling.;;Skill Development
Artificial-Intelligence-Foundations;;Reimagining Skills in the Age of AI;;2024-10-07;;0;;LinkedIn VP Aneesh Raman discusses the role of AI in skills, skills development, upskilling, and reskilling.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Making Your AI Results More Predictable;;2024-09-27;;0;;Learn to tackle the complexities of AI in this course on responsible usage, enhanced user prompts, human oversight, and robust systems to address biases, hallucinations, and more.;;Responsible AI
Artificial-Intelligence-Foundations;;Making Your AI Results More Predictable;;2024-09-27;;0;;Learn to tackle the complexities of AI in this course on responsible usage, enhanced user prompts, human oversight, and robust systems to address biases, hallucinations, and more.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;OpenAI API: Introduction;;2024-01-05;;7490;;Learn how the OpenAI API works and how to work with it in the OpenAI playground and in custom apps.;;OpenAI API
Artificial-Intelligence-Foundations;;OpenAI API: Introduction;;2024-01-05;;7490;;Learn how the OpenAI API works and how to work with it in the OpenAI playground and in custom apps.;;OpenAI Products
Artificial-Intelligence-Foundations;;OpenAI API: Introduction;;2024-01-05;;7490;;Learn how the OpenAI API works and how to work with it in the OpenAI playground and in custom apps.;;API Development
Artificial-Intelligence-Foundations;;OpenAI API: Introduction;;2024-01-05;;7490;;Learn how the OpenAI API works and how to work with it in the OpenAI playground and in custom apps.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;AI Engineering Essentials: Navigating the Tech Revolution;;2024-02-20;;13992;;Discover the core concepts and technical skills required to become a successful AI developer.;;Software Development
Artificial-Intelligence-Foundations;;AI Engineering Essentials: Navigating the Tech Revolution;;2024-02-20;;13992;;Discover the core concepts and technical skills required to become a successful AI developer.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Advanced Azure AI Engineering with AI Search and OpenAI;;2024-06-07;;1346;;Learn how to use advanced features and functionalities available in Azure AI Search and Azure OpenAI Service.;;Software Development
Artificial-Intelligence-Foundations;;Advanced Azure AI Engineering with AI Search and OpenAI;;2024-06-07;;1346;;Learn how to use advanced features and functionalities available in Azure AI Search and Azure OpenAI Service.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Advanced Azure AI Engineering with AI Search and OpenAI;;2024-06-07;;1346;;Learn how to use advanced features and functionalities available in Azure AI Search and Azure OpenAI Service.;;Microsoft Azure
Artificial-Intelligence-Foundations;;Executive Guide to Predictive Modeling Strategy at Scale;;2018-12-11;;49013;;Scalability is one of the biggest challenges in data science. Learn how to evaluate data, choose the right algorithms, and perform predictive modeling at scale.;;Predictive Modeling
Artificial-Intelligence-Foundations;;Executive Guide to Predictive Modeling Strategy at Scale;;2018-12-11;;49013;;Scalability is one of the biggest challenges in data science. Learn how to evaluate data, choose the right algorithms, and perform predictive modeling at scale.;;Machine Learning
Artificial-Intelligence-Foundations;;Executive Guide to Predictive Modeling Strategy at Scale;;2018-12-11;;49013;;Scalability is one of the biggest challenges in data science. Learn how to evaluate data, choose the right algorithms, and perform predictive modeling at scale.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Redis + AI: Building a Vector Database with Redis;;2024-07-31;;1902;;This course shows developers how to exploit ready-made AI-related tools in Redis.;;Vector Databases
Artificial-Intelligence-Foundations;;Redis + AI: Building a Vector Database with Redis;;2024-07-31;;1902;;This course shows developers how to exploit ready-made AI-related tools in Redis.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Redis + AI: Building a Vector Database with Redis;;2024-07-31;;1902;;This course shows developers how to exploit ready-made AI-related tools in Redis.;;Redis
Artificial-Intelligence-Foundations;;Redis + AI: Building a Vector Database with Redis;;2024-07-31;;1902;;This course shows developers how to exploit ready-made AI-related tools in Redis.;;Database Design
Artificial-Intelligence-Foundations;;Azure AI: The Big Picture;;2023-10-31;;6121;;Get a high-level look at what’s contained in the Azure AI toolset.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Azure AI: The Big Picture;;2023-10-31;;6121;;Get a high-level look at what’s contained in the Azure AI toolset.;;Microsoft Azure
Artificial-Intelligence-Foundations;;Machine Learning and AI Foundations: Value Estimations;;2017-03-22;;67542;;Discover how to solve value estimation problems with machine learning. Learn how to build a value estimation system that can estimate the value of a home.;;Machine Learning
Artificial-Intelligence-Foundations;;Machine Learning and AI Foundations: Value Estimations;;2017-03-22;;67542;;Discover how to solve value estimation problems with machine learning. Learn how to build a value estimation system that can estimate the value of a home.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Artificial Intelligence for Students;;2021-07-05;;48452;;Learn the fundamentals of artificial intelligence, a growing area of technology that will be prevalent for years to come.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Introduction to Artificial Intelligence;;2023-03-15;;625690;;Get a simplified overview of the top tools in artificial intelligence.;;Artificial Intelligence for Business
Artificial-Intelligence-Foundations;;Introduction to Artificial Intelligence;;2023-03-15;;625690;;Get a simplified overview of the top tools in artificial intelligence.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Prompting ChatGPT with Multimodal Techniques;;2023-12-06;;10619;;Harness the full potential of ChatGPT by integrating image analysis, coding techniques, DALL-E artwork, and recent web data into your prompts.;;AI Prompting
Artificial-Intelligence-Foundations;;Prompting ChatGPT with Multimodal Techniques;;2023-12-06;;10619;;Harness the full potential of ChatGPT by integrating image analysis, coding techniques, DALL-E artwork, and recent web data into your prompts.;;Prompt Engineering
Artificial-Intelligence-Foundations;;Prompting ChatGPT with Multimodal Techniques;;2023-12-06;;10619;;Harness the full potential of ChatGPT by integrating image analysis, coding techniques, DALL-E artwork, and recent web data into your prompts.;;ChatGPT
Artificial-Intelligence-Foundations;;AI Show: Easier, Faster Training for your Hugging Face Models;;2023-07-20;;0;;On this episode of the AI Show, explore strategies for easier, faster training of Hugging Face models using Optimum and ONNX Runtime.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Azure AI Fundamentals (AI-900) Cert Prep: 2 Principles of Machine Learning on Azure;;2022-07-21;;5955;;Explore the fundamental principles of machine learning on Azure to tackle the second domain of the Microsoft Azure AI Fundamentals (AI-900) certification exam.;;Machine Learning
Artificial-Intelligence-Foundations;;Azure AI Fundamentals (AI-900) Cert Prep: 2 Principles of Machine Learning on Azure;;2022-07-21;;5955;;Explore the fundamental principles of machine learning on Azure to tackle the second domain of the Microsoft Azure AI Fundamentals (AI-900) certification exam.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Azure AI Fundamentals (AI-900) Cert Prep: 2 Principles of Machine Learning on Azure;;2022-07-21;;5955;;Explore the fundamental principles of machine learning on Azure to tackle the second domain of the Microsoft Azure AI Fundamentals (AI-900) certification exam.;;Microsoft Azure
Artificial-Intelligence-Foundations;;Causal AI: A Tech Primer;;2023-07-28;;2202;;Get an advanced-level introduction on how to leverage causal AI—the popular inferential AI technique—to find out if it’s right for you.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Building Recommender Systems with Machine Learning and AI;;2019-04-12;;50421;;Learn how to build recommender systems and help people discover new products and content with deep learning, neural networks, and machine learning recommendations.;;Machine Learning
Artificial-Intelligence-Foundations;;Building Recommender Systems with Machine Learning and AI;;2019-04-12;;50421;;Learn how to build recommender systems and help people discover new products and content with deep learning, neural networks, and machine learning recommendations.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Building Recommender Systems with Machine Learning and AI;;2019-04-12;;50421;;Learn how to build recommender systems and help people discover new products and content with deep learning, neural networks, and machine learning recommendations.;;Recommender Systems
Artificial-Intelligence-Foundations;;Artificial Intelligence Foundations: Machine Learning;;2023-05-30;;106031;;Learn about the machine learning lifecycle and the steps required to build systems in this hands-on course.;;Machine Learning
Artificial-Intelligence-Foundations;;Artificial Intelligence Foundations: Machine Learning;;2023-05-30;;106031;;Learn about the machine learning lifecycle and the steps required to build systems in this hands-on course.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Introduction to Responsible AI Algorithm Design;;2020-10-28;;21222;;Walk through the steps involved in designing responsible AI and to making responsible decisions. Along the way, check your learning with included challenge and solution sets.;;Algorithm Design
Artificial-Intelligence-Foundations;;Introduction to Responsible AI Algorithm Design;;2020-10-28;;21222;;Walk through the steps involved in designing responsible AI and to making responsible decisions. Along the way, check your learning with included challenge and solution sets.;;Responsible AI
Artificial-Intelligence-Foundations;;Introduction to Responsible AI Algorithm Design;;2020-10-28;;21222;;Walk through the steps involved in designing responsible AI and to making responsible decisions. Along the way, check your learning with included challenge and solution sets.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Azure AI Engineer Associate (AI-102) Cert Prep: Implement Computer Vision Solutions;;2024-04-12;;1172;;Learn how to implement computer vision solutions in Azure AI and prepare for the Azure AI Engineer Associate (AI-102) exam.;;Microsoft Azure Machine Learning
Artificial-Intelligence-Foundations;;Azure AI Engineer Associate (AI-102) Cert Prep: Implement Computer Vision Solutions;;2024-04-12;;1172;;Learn how to implement computer vision solutions in Azure AI and prepare for the Azure AI Engineer Associate (AI-102) exam.;;Computer Vision
Artificial-Intelligence-Foundations;;Azure AI Engineer Associate (AI-102) Cert Prep: Implement Computer Vision Solutions;;2024-04-12;;1172;;Learn how to implement computer vision solutions in Azure AI and prepare for the Azure AI Engineer Associate (AI-102) exam.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Complete Guide to Data Lakes and Lakehouses;;2024-08-30;;1674;;Build the foundational knowledge and practical skills essential for data engineers, data scientists, and related professionals to effectively design and utilize data lakes.;;Data Lakes
Artificial-Intelligence-Foundations;;Complete Guide to Data Lakes and Lakehouses;;2024-08-30;;1674;;Build the foundational knowledge and practical skills essential for data engineers, data scientists, and related professionals to effectively design and utilize data lakes.;;Data Engineering
Artificial-Intelligence-Foundations;;Complete Guide to Data Lakes and Lakehouses;;2024-08-30;;1674;;Build the foundational knowledge and practical skills essential for data engineers, data scientists, and related professionals to effectively design and utilize data lakes.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Top 10 Skills for Robotics Engineers;;2023-05-18;;6394;;Explore top skills you need to succeed as a robotics engineer.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Top 10 Skills for Robotics Engineers;;2023-05-18;;6394;;Explore top skills you need to succeed as a robotics engineer.;;Robotics
Artificial-Intelligence-Foundations;;Artificial Intelligence Foundations: Thinking Machines;;2017-11-02;;302131;;Learn the key concepts behind artificial intelligence (AI), including strong and weak AI, approaches such as machine learning, and practical uses for new AI-enhanced technologies.;;Machine Learning
Artificial-Intelligence-Foundations;;Artificial Intelligence Foundations: Thinking Machines;;2017-11-02;;302131;;Learn the key concepts behind artificial intelligence (AI), including strong and weak AI, approaches such as machine learning, and practical uses for new AI-enhanced technologies.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;AI Show: Federated Learning with Azure Machine Learning;;2023-05-02;;0;;On this episode of the AI Show, explore federated learning with Azure Machine Learning.;;Microsoft Azure Machine Learning
Artificial-Intelligence-Foundations;;AI Show: Federated Learning with Azure Machine Learning;;2023-05-02;;0;;On this episode of the AI Show, explore federated learning with Azure Machine Learning.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;AI Show: Federated Learning with Azure Machine Learning;;2023-05-02;;0;;On this episode of the AI Show, explore federated learning with Azure Machine Learning.;;Microsoft Azure
Artificial-Intelligence-Foundations;;Learning AI with GitHub Copilot;;2023-08-11;;5343;;Discover how you can learn AI with the help of GitHub Copilot.;;GitHub Copilot
Artificial-Intelligence-Foundations;;Learning AI with GitHub Copilot;;2023-08-11;;5343;;Discover how you can learn AI with the help of GitHub Copilot.;;GitHub
Artificial-Intelligence-Foundations;;Learning AI with GitHub Copilot;;2023-08-11;;5343;;Discover how you can learn AI with the help of GitHub Copilot.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Build GANs and Diffusion Models with TensorFlow and PyTorch;;2022-09-15;;6441;;Explore the fundamentals of generative adversarial networks (GANs) and diffusion models, two of the most commonly used generative models in machine learning.;;Generative Adversarial Networks (GANs)
Artificial-Intelligence-Foundations;;Build GANs and Diffusion Models with TensorFlow and PyTorch;;2022-09-15;;6441;;Explore the fundamentals of generative adversarial networks (GANs) and diffusion models, two of the most commonly used generative models in machine learning.;;Machine Learning
Artificial-Intelligence-Foundations;;Build GANs and Diffusion Models with TensorFlow and PyTorch;;2022-09-15;;6441;;Explore the fundamentals of generative adversarial networks (GANs) and diffusion models, two of the most commonly used generative models in machine learning.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;AI Fundamentals for Data Professionals;;2023-12-15;;10913;;Discover the fundamental skills, tools, and concepts of AI in this course designed for data professionals.;;Data Science
Artificial-Intelligence-Foundations;;AI Fundamentals for Data Professionals;;2023-12-15;;10913;;Discover the fundamental skills, tools, and concepts of AI in this course designed for data professionals.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Pair Programming with AI;;2023-04-03;;59929;;Learn practical strategies and get hands-on practice on how to leverage AI tools to increase productivity and write better code.;;Pair Programming
Artificial-Intelligence-Foundations;;Pair Programming with AI;;2023-04-03;;59929;;Learn practical strategies and get hands-on practice on how to leverage AI tools to increase productivity and write better code.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Introduction to AI Governance;;2024-02-07;;14552;;Explore core concepts and practical strategies to effectively implement and manage AI governance.;;Data Governance
