0;1;2;3;4;5
Data-Science;Looker Studio for Marketers;2023-04-07;6359;Learn how to create engaging, interactive dashboards to track your digital marketing efforts, online user engagement, and more using Looker Studio.;['Looker (Software)']
Data-Science;Building an Ethereum Blockchain App: 1 Introduction to Blockchain;2021-07-14;31379;Get a basic understanding of blockchain technology, how it can revolutionize different industries, and how you can begin the process of building an Ethereum blockchain app.;['Ethereum', 'Blockchain']
Data-Science;Building an Ethereum Blockchain App: 8 Supply Chain Smart Contract dApp;2021-08-12;8316;Learn how to use smart contract code to build a supply chain decentralized application (dApp).;['Decentralized Applications (DApps)', 'Smart Contracts', 'Ethereum', 'Blockchain']
Data-Science;R for Data Science: Analysis and Visualization;2023-01-23;42294;Learn the basics of R, the free, open-source language for data science. Discover how to use R and RStudio for beginner-level data modeling, visualization, and statistical analysis.;['R (Programming Language)']
Data-Science;Oracle Database 19c: Advanced SQL;2021-02-18;32117;In this course, Bob Bryla covers the advanced features of Oracle SQL in an Oracle 19c Database environment.;['Oracle Database', 'SQL']
Data-Science;SAS® 9.4 Cert Prep: Part 02 Accessing Data;2020-01-06;23728;Prepare to take the SAS 9.4 certification exam. Learn how to read, access, and import SAS data, in this SAS Institute cert prep course.;['Database Queries', 'SAS (Software)']
Data-Science;Careers in Cloud Computing: IT Pro to Microsoft Cloud Pro;2019-03-26;36875;The future of IT is cloud-based. Become cloud-ready and shift your IT career to the cloud. Learn about the services, skills, and certifications you’ll need to become a cloud pro.;['Tech Career Skills', 'Cloud Computing']
Data-Science;Advanced SQL for Data Science: Time Series;2019-04-26;51596;Learn how to model time series data and apply advanced analysis techniques using SQL.;['Time Series Analysis', 'Data Science', 'SQL']
Data-Science;Quality Analytics Using Minitab;2024-01-18;7540;Explore the quality analytics features of Minitab that are commonly used by quality, supply chain, and operations professionals and students.;['Quality Assurance', 'Minitab']
Data-Science;Top 10 Skills for BI Developers;2022-08-29;9659;Learn the top ten skills of business intelligence developers to build out your professional toolbox and boost your career.;['Business Intelligence (BI)', 'Data Analysis']
Data-Science;Advanced Power BI Custom Visuals with d3.js;2021-05-06;27605;Learn how to create custom visuals in Power BI;['Microsoft Power BI', 'D3.js']
Data-Science;Data Science Foundations: Data Engineering;2017-01-23;89894;Discover the basics of big data with a data science expert. Learn about how to perform core data engineering tasks including staging, profiling, cleansing, and migrating data.;['Data Engineering']
Data-Science;Intro to Tableau Prep;2024-09-09;0;Get up and running with Tableau Prep, and complete hands-on projects to learn how to combine, shape, clean, and prepare raw data for analysis.;['Tableau']
Data-Science;Looker Studio for Beginners;2022-09-19;19923;Learn to use Looker Studio, the free data analytics tool from Google that lets you tell stories with your data.;['Google Data Studio']
Data-Science;Machine Learning and AI Foundations: Decision Trees with KNIME;2022-06-22;7710;Expand your data science skills and establish a strong foundation in codeless machine learning.;['Decision Trees', 'Knime', 'Artificial Intelligence (AI)']
Data-Science;Data Visualization for Data Analysis and Analytics (2020);2020-06-16;145102;Start thinking more clearly and strategically about data visualization. Learn how to leverage best practices in visualization and design to communicate data to any audience.;['Data Visualization', 'Data Analysis']
Data-Science;Learning Data Science: Using Agile Methodology;2016-12-06;30813;Deliver valuable data science insights every two weeks. Learn how to work within the data science life cycle (DSLC) and break down your work with tools such as question boards.;['Data Science', 'Agile Methodologies']
Data-Science;Using Data to Create a Better Customer Experience;2024-07-15;0;Leverage the power of data to enhance customer experiences by acquiring the skills and insights needed to analyze and utilize information effectively.;['Data-driven Decision Making', 'Customer Experience Management']
Data-Science;Become a Digital Trust & Safety Leader;2022-02-14;8812;This first-of-its-kind course provides a concrete pathway for trust and safety leaders to grow and for aspiring leaders to enter the field.;['Trust and Safety']
Data-Science;Tech Career Skills: Moving from Developer to Engineering Manager;2020-02-19;32020;Learn about the skills you need to successfully transition from an individual contributor developer on a team to an engineering manager.;['Tech Career Skills', 'Managing Technical Personnel', 'Career Management']
Data-Science;FME Desktop: Data Translation for AEC;2020-10-29;6752;Discover tools and techniques that make translating large volumes of data in GIS and CAD pipelines much easier. Learn how to transform numerous file types into convenient formats.;['Data Processing', 'FME']
Data-Science;Probability Foundations for Data Science;2024-08-26;1405;Upskill in data science by learning key probability concepts: expectation, variance, discrete and continuous distributions, limit theorems, approximations, Bayesian probability, and estimation.;['Probability', 'Big Data Analytics', 'Statistics', 'Mathematical Analysis']
Data-Science;Tech on the Go: Ethics in Cybersecurity;2021-10-28;19023;Learn about the importance of ethical behavior in cybersecurity.;['Data Ethics', 'Computer Ethics']
Data-Science;Women Transforming Tech: Breaking Bias;2019-09-24;24058;Break into the tech industry by breaking bias. Learn skills to level the playing field, gain visibility, build a network, pick the right projects, and pave the way for change.;"['Tech Career Skills', ""Women's Leadership"", 'Gender Equality']"
Data-Science;Inclusive Tech: Retaining Diverse Talent;2021-05-11;17093;Keep the high-performing, diverse team you have hired. Discover best practices on inclusion that lead to increased retention in tech.;['Staff Retention', 'Tech Career Skills', 'Diversity & Inclusion']
Data-Science;Security Tips: Digital Legacy;2023-03-31;2046;Learn how to create, share, and test a digital legacy plan that outlines how your loved ones can access your important information.;['Information Security', 'Data Privacy', 'Estate Planning']
Data-Science;The Data Analytics of Diversity, Inclusion, and Well-being;2023-09-18;5197;Learn how to leverage the power of data analytics to improve diversity, inclusion, and well-being across your entire organization.;['Diversity, Equity, Inclusion and Belonging (DEIB)', 'People Analytics']
Data-Science;Learning Data Science: Manage Your Team;2016-11-15;34831;Learn to hire, foster, and manage data science teams that produce deeper insights and more effective reports and visualizations.;['Big Data']
Data-Science;Tech Recruiting Foundations: 3 Recruiting Software Developers;2021-06-24;23317;Learn just enough about what you need to know to recruit software developers successfully.;['Technical Recruiting']
Data-Science;Data Ethics: Making Data-Driven Decisions;2022-02-15;24617;Learn how to design computer algorithms to be more ethical when making complex decisions.;['Data Ethics', 'Data-driven Decision Making']
Data-Science;Tech Trends;2021-08-26;96116;Gain clear perspectives on which up-and-coming technologies you should consider adopting and why.;['Technology Trends', 'Tech Career Skills']
Data-Science;Twelve Myths About Data Science (2017);2017-01-10;31611;Data science expert Ben Sullins busts 12 common myths in the field of data science, separating fact from fiction about what big data really is.;['Big Data']
Data-Science;Get Ready for Your Coding Interview;2017-04-14;105378;Discover what coding interviews are like and how to prepare for them. Review useful concepts to master your interview, followed by practice problems that test what you know.;['Interview Preparation', 'Tech Career Skills', 'Career Management']
Data-Science;Identity Threat Protection with Sentinel;2024-06-14;1227;Upskill as a cybersecurity professional. Learn how to use Microsoft Sentinel to monitor and protect your organization from potentially devastating, identity-based threats.;['Sentinel', 'Personal Data Protection']
Data-Science;Intermediate SQL for Data Scientists;2021-07-20;103424;Dive into one of the most important data science tools: SQL. Learn how to use joins and subqueries, statistical functions, window functions, and much more.;['SQL', 'Database Queries']
Data-Science;Tech Recruiting Foundations: 8 Recruiting DevOps;2022-11-04;7601;Learn enough about DevOps to hire talent for your organization.;['Tech Career Skills', 'Recruiting', 'DevOps']
Data-Science;Data Analytics: Dashboards vs. Data Stories;2021-10-07;143818;Learn the basic applications of two common data science and analytics tools: dashboards and data stories.;['Data Analytics']
Data-Science;Data Science Foundations: Fundamentals;2022-02-04;115483;Get an accessible, nontechnical overview of data science, covering the vocabulary, skills, jobs, tools, and techniques of the field.;['Data Science']
Data-Science;CompTIA Data+ (DA0-001) Cert Prep: 4 Visualization;2022-01-27;3352;Explore how to use visualizations to communicate the results of your data analysis as you prepare for the Data+ certification exam.;['Data Visualization']
Data-Science;Creating Interactive Presentations with Shiny and R;2016-04-29;62597;Make the results of big data analysis more compelling and clear. Learn how to create interactive presentations and dashboards with RStudio and Shiny.;['Data Visualization', 'R Shiny']
Data-Science;Tech Career Skills: Effective Technical Communication;2019-01-24;82279;Become a better communicator in the tech field. Learn the communication skills you need to ensure successful product delivery, manage a remote team, and excel in your career.;['Tech Career Skills', 'Technical Communication']
Data-Science;Privacy, Governance, and Compliance: Data Sharing;2023-03-14;8451;Learn how to develop a mature and dynamic data governance in order to enable privacy-aware data sharing.;['Data Privacy', 'Data Sharing']
Data-Science;Cloud Computing Careers and Certifications: First Steps;2023-04-19;17277;Interested in transitioning to a career in cloud computing? Explore potential career paths and the certifications that can help you accelerate your professional transformation.;['Tech Career Skills']
Data-Science;Practice Exam 1 for Power BI Data Analyst Associate (PL-300);2024-05-06;2237;Prepare for certification exams with LinkedIn practice exams. Access multiple practice modes with unlimited attempts, detailed results, and explanations for each answer.;['Microsoft Power BI', 'Data Analysis']
Data-Science;Nano Tips for Data Storytelling and Visualization with Lachezar Arabadzhiev;2023-02-24;11320;Learn how to present data visualizations in an engaging way that gets your message across.;['Data Visualization', 'Data Storytelling']
Data-Science;Google Cloud Professional Data Engineer Cert Prep: 3 Operationalizing Machine Learning Models;2023-07-21;0;Prepare for the Google Cloud Professional Data Engineer certification exam’s third section, operationalizing machine learning models.;['Google Cloud Platform (GCP)', 'Data Engineering']
Data-Science;Python for Data Visualization;2024-01-16;3654;Build accurate, engaging, and easy-to-generate data visualizations using the popular programming language Python.;['Data Visualization', 'Python (Programming Language)']
Data-Science;SAS® 9.4 Cert Prep: Part 07 Using SQL in SAS;2020-01-06;13410;Prepare to take the SAS 9.4 certification exam. Learn how to integrate the power of SQL programming with SAS, in this SAS Institute cert prep course.;['SQL', 'SAS (Software)']
Data-Science;DevOps for Data Scientists;2018-05-10;34948;Learn the principles of supporting DevOps and how to apply them to data science.;['Data Science', 'DevOps']
Data-Science;Java: Data Structures;2021-11-29;33335;Find out what data structures are, what things to consider when choosing which data structure to use, and which data structures are the most common in Java.;['Data Structures', 'Java']
Data-Science;Understanding Customers Using Jobs to Be Done with David Duncan;2023-03-15;15104;Learn to leverage the power of the jobs-to-be-done methodology (JTBD) to gain fresh insights into your customers and drive long-term organizational success.;['Customer Insight', 'Customer Experience']
Data-Science;Azure Data Engineer Associate (DP-203) Cert Prep: 3 Design and Implement Data Security;2022-12-15;1700;Learn about designing and implementing data security on Azure and begin your preparations to pass that domain of the Microsoft Azure Data Engineering (DP-203) exam.;['Data Security', 'Security Implementation', 'Microsoft Azure']
Data-Science;Microsoft Power Platform App Maker (PL-100) Cert Prep;2023-08-31;9376;Upskill as a citizen developer to prepare for the Microsoft Power Platform App Maker (PL-100) certification exam.;['Microsoft Power Apps']
Data-Science;Programming Foundations: Algorithms;2024-01-11;7194;Algorithms are the universal building blocks of programming. Learn the most popular and useful programming algorithms for searching and sorting data, counting values, and more.;['Algorithm Design', 'Data Structures', 'Artificial Intelligence (AI)']
Data-Science;Analyzing Sales Competitors;2016-06-06;48355;Increase sales by knowing the competition. Learn how to evaluate sales competitors with these smart sales strategies.;['Competitive Analysis']
Data-Science;Excel Modeling Tips and Tricks (2021);2021-05-25;165830;Learn to build effective and versatile financial models to forecast sales, profits, operations, costs, assets and liabilities, and more in Microsoft Excel.;['Excel Modeling']
Data-Science;Advanced SQL for Data Scientists;2021-05-27;141953;Learn advanced techniques for analyzing large data sets with SQL. Find out how to build sophisticated data models, optimize queries, extend SQL with user-defined functions, and more.;['SQL', 'Data Analysis']
Data-Science;Learning the Elastic Stack (2020);2020-10-29;28047;Get started with the Elastic Stack (formerly known as the ELK Stack). Learn how to work with Kibana and the other core components of the stack.;['Elastic Stack (ELK)']
Data-Science;Data Ingestion with Python;2019-12-12;63677;Learn how to use Python tools and techniques to solve one of the main challenges data scientists face: getting good data to train their algorithms.;['Data Ingestion', 'Python (Programming Language)']
Data-Science;Economics: Quantitative Demand Analysis;2023-05-02;11628;Learn how to predict customer demand by applying economic models in Excel.;['Quantitative Analytics', 'Economic Data Analysis']
Data-Science;Microsoft Power Platform Fundamentals (PL-900) Cert Prep: 4 Power Apps by Microsoft Press;2023-06-27;1537;Explore the core components of Power Apps to prepare for the Microsoft Power Platform Fundamentals (PL-900) certification exam.;['Microsoft Power Platform', 'Microsoft Power Apps']
Data-Science;Career Clinic: Developer Insights;2017-08-29;26590;Get career advice and insights from tech [in]structors—practicing developers who teach for LinkedIn Learning.;['Tech Career Skills', 'Career Management']
Data-Science;Audit and Due Diligence: Priorities and Best Practices;2021-05-17;57278;Learn how to prepare the paperwork, people, and processes to make an independent audit run smoothly.;['Auditing', 'Operational Due Diligence']
Data-Science;Inclusive Tech: Leadership and Management;2020-10-22;6703;Make strides towards building and leading an inclusive tech team. Learn about essential inclusive leadership principles and how to act on them in your own organization.;['Tech Career Skills', 'Technology Leadership', 'Diversity & Inclusion']
Data-Science;SPSS Statistics Essential Training;2024-01-11;7365;Learn all the essentials of using SPSS, a statistical software suite for data management and advanced analytics.;['SPSS Statistics', 'Statistical Data Analysis']
Data-Science;Executive Guide to Predictive Modeling Strategy at Scale;2018-12-11;49024;Scalability is one of the biggest challenges in data science. Learn how to evaluate data, choose the right algorithms, and perform predictive modeling at scale.;['Predictive Modeling', 'Machine Learning', 'Artificial Intelligence (AI)']
Data-Science;Oracle Database 12c: Basic SQL;2018-01-17;112529;Learn how to use SQL in an Oracle Database 12c environment. This beginner-level course shows how to query, select, filter, join, and manipulate Oracle data using SQL statements.;['Oracle Database', 'SQL']
Data-Science;Deploying Scalable Machine Learning for Data Science;2018-08-17;44299;Learn how to use design patterns for scalable architecture and tools such as services and containers to deploy machine learning at scale.;['Data Science', 'Machine Learning']
Data-Science;Hands-On Data Science using SQL, Tableau, Python, and Spark;2024-03-05;7233;Get practical, hands-on data science experience using SQL, Tableau, Python, and Spark.;['Data Science', 'SQL', 'Python (Programming Language)', 'Tableau']
Data-Science;Blockchain and Smart Contracts Security;2022-05-27;8213;Learn about security concerns, risk mitigation techniques, and how to configure and implement security controls to protect Blockchain from a breach or attack.;['Blockchain']
Data-Science;Advanced SQL: Logical Query Processing, Part 1;2020-03-30;56834;Gain a deep understanding of how the database processes SQL queries, improve your programming skills, and learn to effortlessly read, write, and troubleshoot SQL queries.;['SQL', 'Database Queries']
Data-Science;Data Engineering: dbt for SQL;2023-09-26;5946;Learn how you can use dbt (data build tool) to make managing your SQL code simpler and faster.;['Data Build Tool (DBT)', 'Data Engineering', 'SQL']
Data-Science;Learning Amazon Web Services (AWS) QuickSight;2020-07-17;14733;Learn how to use AWS QuickSight to monitor data, analyze trends, and create engaging visualizations and dashboards.;['Amazon QuickSight', 'Amazon Web Services (AWS)']
Data-Science;Microsoft Power Apps: Using the Dataverse (Formerly the Common Data Service);2021-05-20;14039;Learn how to use the Dataverse (formally the Common Data Service) when creating apps using Power Apps for Dynamics and other software.;['Microsoft Power Apps']
Data-Science;Build SAP Integration with Node-RED;2022-11-21;4591;Learn how to build applications outside SAP that connect to SAP externally, using the SAP RFC SDK in Node-RED.;['SAP Products', 'Node-RED', 'API Development']
Data-Science;SQL Server Analysis Services;2023-06-16;3861;Learn how to create, secure, and deploy an Analysis Services Tabular model to organize and store your data in a way that makes it easier to find trends and draw conclusions.;['SQL Server Analysis Services (SSAS)']
Data-Science;Power Automate Quick Tips;2021-10-08;18727;Learn how to make the most of Power Automate with these quick tips.;['Microsoft Power Automate']
Data-Science;Integrate Microsoft Graph in Your Applications;2024-02-15;1217;Learn how to integrate Microsoft Graph into your apps in this course for developers and IT professionals.;['Microsoft Graph', 'Microsoft 365', 'Big Data Analytics']
Data-Science;Tech Career Skills: Developing Your Personal Brand;2021-01-27;6722;When your personal brand is well-known, you can unlock professional and personal opportunities. This course helps you identify your strengths, establish your presence, and more.;['Personal Branding', 'Tech Career Skills']
Data-Science;Machine Learning and AI Foundations: Advanced Decision Trees with KNIME;2022-11-14;2420;Learn to go beyond the basic decision tree algorithms in KNIME by accessing WEKA, R, and Python-based decision tree and rule induction algorithms from within the KNIME platform.;['Decision Trees', 'Knime', 'Machine Learning']
Data-Science;Power BI Data Analyst Associate (PL-300) Cert Prep: Designing and Developing a Power BI Data Model;2023-07-27;8227;Learn about topics related to designing and developing a Power BI data model, which will help you prepare for the Power BI Data Analyst (PL-300) exam.;['Microsoft Power BI', 'Data Models']
Data-Science;Learning the R Tidyverse;2024-07-12;0;Learn to integrate the tidyverse into your R workflow and get new tools for importing, filtering, visualizing, and modeling research and statistical data.;['tidyverse', 'R (Programming Language)']
Data-Science;Hands-On Analytics Engineering Project;2024-06-14;1137;This course teaches analytics engineers how to pipeline data into the database from an external source for use in visualization.;['Data Pipelines', 'Data Engineering', 'Extract, Transform, Load (ETL)', 'Python (Programming Language)']
Data-Science;Google Analytics Quick Start;2020-12-17;32770;This course offers everything you need to take advantage of the latest features of Google Analytics. Learn how to manipulate reports, analyze data, and segment your audiences.;['Google Analytics']
Data-Science;Data Visualization with Canva and Flourish;2023-02-08;3496;Get an introduction to the world of data visualization using Canva and Flourish, and learn why visualization is critical to the big picture of product design.;['Data Visualization', 'Canva']
Data-Science;Becoming a Data Evangelist/Advocate;2024-02-05;0;Learn step-by-step how to become a data evangelist and advocate, one of the hottest roles in the data industry.;['Technology Evangelism', 'Data Science']
Data-Science;The Data Science of Economics, Banking, and Finance;2024-05-16;8934;Get a thorough, non-technical introduction to data science in the finance world.;['Economics', 'Finance', 'Data Science', 'Banking']
Data-Science;Excel Data Visualization: Mastering 20+ Charts and Graphs;2018-11-16;602923;Learn to use Excel for data visualization. Explore the most useful chart and graph tools, including scatterplots, histograms, sparklines, 3D power maps, and geospatial heat maps.;['Data Visualization', 'Microsoft Excel']
Data-Science;Storytelling for Designers;2014-09-23;62894;Bring the art of storytelling into your designs. Learn how to borrow the tricks writers, filmmakers, and advertisers use to tell great stories and apply them to graphic design.;['Visual Storytelling']
Data-Science;Following the Digital Thread;2019-11-08;19803;Explore the digital thread, a revolutionary manufacturing approach. Learn how to digitize every aspect of design, manufacture, and testing—and reap the benefits.;['Manufacturing', 'Digitization']
Data-Science;Learning Data Visualization;2022-10-21;57085;Communicate complex ideas quickly and thoroughly with data visualization. Entice and inform your audience with effective, and maybe creative, design.;['Data Visualization']
Data-Science;Complete Guide to Data Lakes and Lakehouses;2024-08-30;1726;Build the foundational knowledge and practical skills essential for data engineers, data scientists, and related professionals to effectively design and utilize data lakes.;['Data Lakes', 'Data Engineering', 'Artificial Intelligence (AI)']
Data-Science;Esri ArcGIS Maps for Creative Cloud Extension;2020-03-03;21145;Learn how to design with data-driven maps inside Adobe Illustrator and Photoshop using the ArcGIS Maps for Creative Cloud extension from Esri.;['ArcGIS Products']
Data-Science;SQL Practice: Window Functions;2023-09-13;13985;Test your knowledge of Window Functions in SQL with five challenges.;['SQL']
Data-Science;QGIS and Python for AEC;2020-07-30;20358;Expedite your AEC workflow. Learn how to use Python scripting to automate and augment the QGIS toolset.;['Quantum GIS', 'AEC', 'Python (Programming Language)']
Data-Science;Data Engineering Pipeline Management with Apache Airflow;2023-08-15;2188;Explore ways to work with role-based access control, manage SLAs, schedule DAGs with datasets, work with Airflow Plugins, and scale Airflow.;['Apache Airflow', 'Workflow Management']
Data-Science;Practice Exam 4 for Power BI Data Analyst Associate (PL-300);2024-05-06;0;Prepare for certification exams with LinkedIn practice exams. Access multiple practice modes with unlimited attempts, detailed results, and explanations for each answer.;['Microsoft Power BI', 'Data Analysis']
Data-Science;Microsoft Azure Data Scientist Associate (DP-100) Cert Prep: 2 Run Experiments and Train Models;2023-01-30;1267;Prepare for the second domain of the Microsoft Azure Data Scientist Associate (DP-100) exam.;['Model Training', 'Microsoft Azure Machine Learning', 'Data Science']
Data-Science;Data-Driven DEI Decision-Making;2023-04-21;14306;Learn how to design DEI data requirements into scorecards, and create and analyze DEI data to tell more impactful, compelling stories that drive diversity program outcomes.;['Diversity & Inclusion', 'Data-driven Decision Making']
Data-Science;Microsoft Azure Data Engineer Associate (DP-203) Cert Prep: 2 Design and Develop Data Processing by Microsoft Press;2023-08-14;3314;Explore the fundamental concepts and skills required to design and develop data processing to pass the Microsoft Azure Data Engineer Associate (DP-203) certification exam.;['Data Processing', 'Microsoft Azure']
Data-Science;Inside the Mind of an Aspiring Data Scientist;2022-01-05;11947;Learn about how to become a data scientist. Unlock the potential of a data science career path and find out what you need to know if you’re just starting out.;['Data Science', 'Critical Thinking']
Data-Science;Excel for Financial Planning and Analysis (FP&A);2024-01-23;45266;Harness the power of Microsoft Excel for a wide variety of financial planning and analysis (FP&A) tasks: forecasting, planning, analysis, and modeling.;['Financial Planning', 'Financial Analysis', 'Microsoft Excel']
Data-Science;Hands-On Introduction: Data Engineering;2023-04-28;22260;Discover and apply the fundamentals of data engineering in this hands-on, approachable, skills-based course.;['Data Engineering']
Data-Science;Microsoft Power Automate: Business Process Flows;2021-03-22;28901;Learn how to use business process flows, an advanced feature of Power Automate;['Microsoft Power Automate']
Data-Science;SQL Server Machine Learning Services: R;2020-05-01;10325;Learn how to execute R code directly on SQL Server with Machine Learning Services.;['R (Programming Language)', 'Machine Learning', 'Microsoft SQL Server']
Data-Science;Advanced Tableau Desktop;2024-09-11;0;Build expert-level Tableau skills by mastering relationships, advanced calculations, predictive analytics, and dynamic design.;['Tableau']
Data-Science;NLP with Tidytext R;2023-05-18;0;Learn how to implement natural language processing (NLP) algorithms with tidytext, the popular text mining tool package designed uniquely for the R programming language.;['Natural Language Processing (NLP)', 'R (Programming Language)']
Data-Science;Power Automate Desktop: Beyond the Basics;2024-03-08;4839;This project-based course teaches more advanced skills in using Power Automate for desktop for creating business-driven automations.;['Microsoft Power Automate']
