Timestamp,Please select your country:,What region do you work in?,What city do you work in?,Are you a chartered engineer?,What province do you work in?,What city do you work in?,Select your highest level of professional attainment?,What state do you live in?,What is your highest level of professional attainment?,What state do you work in?,What city do you work in?,Select your highest level of professional attainment?,What is the maximum contribution offered by your employer as a percentage of your salary for an ESOP?,What is the maximum contribution offered by your employer as a percentage of your salary for a 401k?,Select your highest level of education attainment,Company Name (Optional),Company Head Count,What is your job title?,Which best describes your participation in the Civil Engineering industry?,Which sub discipline do you work in?,Do you work in the Public or Private sector?,How many years of post-graduate experience do you have in Civil Engineering?,What is your current annual salary?,What is your current billing rate?,What is your utilization percentage?,If you received a sign-on bonus how much was it?,How much did you earn in discretionary bonuses?,If you are a compensated with commission how much was your commission?,Is health insurance available?,How many days of paid time off do you receive per  year? (Sick time + Vacation Time),How many days per week do/can you work from home?,How many hours per week do you work on average?,How are you compensated for overtime?,Are you actively looking to change jobs?,Does your employer offer any student loan reimbursement?,Do you have a company vehicle?,"What is your overall job satisfaction considering your pay, work-life balance, benefits, community standing, and all other factors?","What salary would it take for you to change employers for a similar role, assuming the benefits are the same?",If there is any additional relevant information about your job you feel someone who looks at your responses needs to know please provide it below.,Please select your gender,"How many hours of paternity leave does your company offer, if any?","How many hours of maternity leave does your company offer, if any?"
8/27/2023 12:17:59,United States of America,,,,,,,,,Massachusetts,Boston ,EIT,0,15,Masters Degree,,650,Associate Project Consultant ,Full Time,Structural,Private,0,74360,N/A,95%,5000,2860,0,Yes but I still pay a premium,25,"I work in office full time, but the company allows up to 3 days of  WFH a week ",40,Straight time (1.0x),No,No,No,8,N/A,,Male,N/A,
8/27/2023 12:18:14,United States of America,,,,,,,,,Washington,Everett,PE,6,6,Bachelors Degree,David Evans and associates ,1000,Engineer 3,Full Time,Land Development,Private,0,116000,150,92,0,0,0,Yes but I still pay a premium,16,2,40,Straight time (1.0x),No,No,No,5,150000,,Female,,0
8/27/2023 12:20:24,,,,,,,,,,,,,,,Bachelors Degree,,300,Geotechnical Engineer-In-Training ,Full Time,Geotechnical,Private,1.5,75000,139,70,,0,0,Yes but I still pay a premium,20,5,40,Time and a half (1.5x),No,No,Yes,7,90000,,Male,Unkown,
8/27/2023 12:22:11,United States of America,,,,,,,,,Virginia,Richmond,PE,0,4,Bachelors Degree,,1200,Group Leader,Full Time,Land Development,Private,20,148000,225,75,30000,15000,0,Yes but I still pay a premium,30,2,45,Not compensated (Exempt),No,Yes,No,7,160000,,Male,160,
8/27/2023 12:22:18,United States of America,,,,,,,,,Illinois,Chicago,PE,0,4,Bachelors Degree,,850,Engineer,Full Time,Environmental,Private,7,100000,N/A,85,,6000,0,Yes but I still pay a premium,20,3,41,Straight time (1.0x),No,No,No,8,120000,,Male,80,
8/27/2023 12:24:57,United States of America,,,,,,,,,Texas,San Antonio,PE,0,18,Bachelors Degree,Kimley-Horn,5000,Civil Engineer,Full Time,Land Development,Public,7,100000,N/A,96,25000,50000,0,Yes and fully covered,15,0,50,Not compensated (Exempt),No,No,No,2,N/a,N/a,Male,0,
8/27/2023 12:29:49,United States of America,,,,,,,,,Arizona,Phoenix,EIT,0,18,Bachelors Degree,Kimley-Horn & Associates,4500,Analyst,Full Time,Land Development,Private,4,85000,41,160,15000,15000,0,Yes and fully covered,30,1,45,Not compensated (Exempt),No,No,No,8,120000,,Male,Idk,
8/27/2023 12:35:30,United States of America,,,,,,,,,New Jersey,Cherry Hill (HQ) ,None,0,5,Masters Degree,,1500,Project Manager,Full Time,Construction/Field,Private,7,130000,N/A,N/A,,13000,0,Yes but I still pay a premium,15,2,45,Not compensated (Exempt),No,Yes,No,8,150000,,Male,40,
8/27/2023 12:36:25,United States of America,,,,,,,,,California,Los angeles,EIT,0,4,Bachelors Degree,LA County Public Works,"4,000+",Civil Engineering Assistant,Full Time,Government/Municipal,Public,6,90000,N/A,N/A,,1500,0,Yes and fully covered,20,2,40,Time and a half (1.5x),No,Yes,No,5,120000,,Male,Unlnown,
8/27/2023 12:36:58,United States of America,,,,,,,,,Arizona,Phoenix,PE,5,5,Bachelors Degree,,12000,Drainage Engineer,Full Time,Transportation,Private,6,100004,43,95,,4000,0,Yes and fully covered,20,2,40,Not compensated (Exempt),No,Yes,No,9,130000,,Male,80,
8/27/2023 12:38:02,United States of America,,,,,,,,,California,Santa Ana ,None,0,4.5,Bachelors Degree,,6000+,Civil Associate I ,Full Time,Water Resources,Private,1,80000,N/A,N/A,0,0,0,Yes and fully covered,22,4-5,45,Time and a half (1.5x),No,No,No,9,100000,,Male,3,
8/27/2023 12:38:53,United States of America,,,,,,,,,Colorado,Denver,EIT,0,4,Bachelors Degree,,15,Engineering technician ,Full Time,Forensics,Private,2,75000,190,80,,5000,0,Yes and fully covered,"Unlimited, just have to hit 1700 billable hours. ",4,8,Not compensated (Exempt),No,No,No,9,85000,"Billable goal of 1700 hours. Anything over my goal is calculated into my bonus. Great culture and some of the smartest people I’ve ever worked with, the three top engineers all have masters and one is studying for the SE",Male,Unlimited ,
8/27/2023 12:38:57,United States of America,,,,,,,,,Colorado,Loveland,PE,0,3,Bachelors Degree,,15,Senior Project Engineer,Full Time,Geotechnical,Private,17,125000,N/A,N/A,,25000,0,Yes but I still pay a premium,20,3,45,Not compensated (Exempt),No,No,Yes,9,200000,,Male,80,
8/27/2023 12:41:08,United States of America,,,,,,,,,Florida,Orlando,EIT,0,0,Bachelors Degree,,5000,Engineer II,Full Time,Transportation,Private,3,85000,N/A,90,,0,0,Yes but I still pay a premium,22,0,42,Straight time (1.0x),No,Yes,No,8,100000,,Male,320,
8/27/2023 12:41:18,United States of America,,,,,,,,,Colorado,Fort Collins ,PE,0,6,Bachelors Degree,,350,Project Engineer ,Full Time,Land Development,Private,15,97500,140,80,,7500,0,Yes but I still pay a premium,25,0,44,Straight time (1.0x),No,Yes,No,9,115000,,Male,40,
8/27/2023 12:44:15,Denmark,,,,,,,,,,,,,,Bachelors Degree,,Copenhagen,Project leader,Full Time,Structural,Private,4,68,N/A,N/A,0,0,0,Yes and fully covered,25 days,0,37,Straight time (1.0x),Yes,No,No,8,90,,Male,0,
8/27/2023 12:45:29,Canada,,,,Alberta,Calgary ,PE,,,,,,,,Bachelors Degree,,22000,Project Engineer ,Full Time,Transportation,Private,8,100000,N/A,70,,0,0,Yes but I still pay a premium,23,2-3,40,Time and a half (1.5x),Yes,No,No,8,120000,,Male,80,
8/27/2023 12:52:23,United States of America,,,,,,,,,Nebraska,Omaha,PE,2,3.5,Bachelors Degree,,1500,Project engineer ,Full Time,Land Development,Private,6,87000,32,90,,12000,0,Yes but I still pay a premium,12,3,43,Not compensated (Exempt),Yes,Yes,No,7,110000,,Male,0,
8/27/2023 12:55:12,United States of America,,,,,,,,,Kansas,Wichita ,PE,0,5,Bachelors Degree,,1300,Project Manager,Full Time,Land Development,Private,23,123000,180,85,,15000,0,Yes but I still pay a premium,30,0,40,Straight time (1.0x),No,Yes,No,10,150000,,Male,120,
8/27/2023 12:58:14,United States of America,,,,,,,,,Illinois,Aurora,EIT,0,8,Bachelors Degree,,50,Project Engineer,Full Time,Transportation,Private,4,81000,N/A,82,,8800,0,Yes and fully covered,25,0,45,Straight time (1.0x),No,No,Yes,4,100000,,Male,0,
8/27/2023 12:58:16,United States of America,,,,,,,,,California,Los Angeles,EIT,0,4,Masters Degree,Moffatt & Nichol,1200,Structural Scientist ,Full Time,Structural,Private,2,86000,180,96,,2500,0,Yes and fully covered,15,3,42,Time and a half (1.5x),No,No,No,8,100000,,Male,80,
8/27/2023 12:59:44,United States of America,,,,,,,,,California,Anaheim,PE,0,0,Bachelors Degree,,1800,Associate Engineer,Full Time,Water Resources,Public,11,125400,N/A,N/A,,0,0,Yes but I still pay a premium,30,0,40,Not compensated (Exempt),No,No,Yes,9,145000,,Female,,0
8/27/2023 13:00:28,United Kingdom,Scotland,Glasgow,No,,,,,,,,,,,Higher National Certificate,,26000,Principal Technician,Full Time,Bridges,Private,25,50000,N/A,87%,0,0,0,Yes and fully covered,35,5,40,Not compensated (Exempt),No,No,No,8,55000,,Male,40,
8/27/2023 13:01:00,United States of America,,,,,,,,,Minnesota,Minneapolis,EIT,0,3,Bachelors Degree,,~250,Engineer 1,Full Time,Land Development,Private,1,70000,N/A,85%,0,2000,0,Yes and fully covered,15,All of them,40 exactly,Time and a half (1.5x),No,No,No,8,It would take me minimum probably $15-20k increase. I have a nice work from home job at a company I enjoy the work,We have an ESOP we dont contribute to but we get stock from at the end of each year that grows for the amount of time we stay. When we leave we get that money in the form of a retirement account,Male,2 months paid leave,
8/27/2023 13:01:42,United Kingdom,East Midlands,Retford ,No,,,,,,,,,,,Masters Degree,,32,Graduate Engineer,Full Time,Bridges,Private,1,29000,N/A,N/A,2500,1000,0,No,28,2,37.5,Time and a half (1.5x),Yes,No,No,8,35000,Moving to Australia hence looking for other jobs ,Female,,
8/27/2023 13:02:33,United States of America,,,,,,,,,Virginia,Richmond,PE,0,8,Bachelors Degree,,7000,Civil Engineer,Full Time,Transportation,Private,7,100000,N/A,92,,42000,0,Yes and fully covered,15,1,46,Not compensated (Exempt),No,No,No,8,200000,"Additional 9% profit sharing contributed to 401k, clear future ownership potential",Female,,320
8/27/2023 13:02:40,United States of America,,,,,,,,,Michigan,Ann Arbor,EIT,0,3,Bachelors Degree,,~50,Project Engineer,Full Time,Land Development,Private,0,62400,30,N/A,,0,0,Yes but I still pay a premium,15,0,40,Time and a half (1.5x),No,No,No,5,"70,000",,Male,0,
8/27/2023 13:04:37,United States of America,,,,,,,,,Florida,Vero Beach,PE,12,0,Bachelors Degree,,1500,Project Manager,Full Time,Land Development,Private,10,120000,$165,N/A,,0,0,Yes but I still pay a premium,20,0,45,Not compensated (Exempt),No,No,No,4,140000,,Male,80,
8/27/2023 13:04:45,United States of America,,,,,,,,,North Carolina,Raleigh,EIT,1.5,4,Bachelors Degree,,450,Staff professional III,Full Time,Water Resources,Public,3.75,83720,150,88,,4000,0,Yes but I still pay a premium,15,Unlimited,40,Not compensated (Exempt),No,No,No,9,115000,"I get my pe in January and expect to make close to 100k, the 115k to change jobs has that in mind. I also have multiple direct reports. I know I have ESOP contributions but I can’t see them yet so I guessed in the percentage ",Male,80,
8/27/2023 13:05:30,United States of America,,,,,,,,,Tennessee,Knoxville,EIT,0,1500,Bachelors Degree,,700,Engineer,Full Time,Land Development,Private,3.5,71000,N/A,70%,0,1500,0,Yes and fully covered,16,1,40,Straight time (1.0x),No,No,No,9,85000,,Male,0,
8/27/2023 13:06:26,United Kingdom,London,London,No,,,,,,,,,,,High School Diploma,,15,Engineering Apprentice,Full Time,Structural,Private,1,17000,N/A,N/A,0,0,0,No,20,0,37.5,Straight time (1.0x),No,No,No,8,"22,000","I'm just an apprentice, don't have a degree, only finished UK college (salary is in GBP)",Male,75,
8/27/2023 13:08:30,United States of America,,,,,,,,,California,Riverside,EIT,0,3,Bachelors Degree,,280,Assistant Engineer,Full Time,Land Development,Private,3,85000,N/A,N/A,,1500,0,Yes but I still pay a premium,22,4,42,Not compensated (Exempt),No,No,No,5,95000,,Male,480,
8/27/2023 13:12:31,Canada,,,,Alberta,Calgary,EIT,,,,,,,,Bachelors Degree,,40,Transportation EIT,Full Time,Transportation,Private,3,76450,145,90,,3500,0,Yes but I still pay a premium,20,5,38,Straight time (1.0x),Yes,Yes,No,10,85000,,Male,Canada,
8/27/2023 13:12:32,United States of America,,,,,,,,,Florida,Miami,None,0,3000,One year away from Bachelors,,1000+,Intern,Full Time,Bridges,Private,0,56000,N/A,N/A,0,0,0,Yes but I still pay a premium,11,0,50,Time and a half (1.5x),No,No,No,8,65000,,Male,40,
8/27/2023 13:13:33,United States of America,,,,,,,,,Hawaii,Honolulu,PE,0,5,Bachelors Degree,,90,Civil Engineer,Full Time,Land Development,Private,6,80000,150,95,,10000,0,Yes and fully covered,22,2,45,Not compensated (Exempt),No,No,No,8,135000,,Male,0,
8/27/2023 13:19:26,United States of America,,,,,,,,,South Carolina,Columbia ,PE,0,5,Bachelors Degree,,400,Geotechnical Engineer,Full Time,Geotechnical,Private,8,105000,N/A,75,,10000,0,Yes but I still pay a premium,32,2,40,Straight time (1.0x),No,No,Yes,7,125,,Male,0,
8/27/2023 13:19:38,United States of America,,,,,,,,,Ohio,Holland,EIT,0,3,Bachelors Degree,,50,Structural EIT,Full Time,Structural,Private,6,85000,41,N/A,,500,0,Yes but I still pay a premium,12,0,40,Time and a half (1.5x),No,Yes,No,9,100000,,Male,0,
8/27/2023 13:22:13,Ireland,,,,,,,,,,,,,,Bachelors Degree,,200,Graduate Transportation Engineer,Full Time,Transportation,Private,1,35000,38 euro,N/A,,0,0,Yes but I still pay a premium,33,0,37.5,Not compensated (Exempt),No,Yes,Yes,10,40000,"I love my job and I find it very rewarding, without much stress",Male,70,
8/27/2023 13:25:43,United States of America,,,,,,,,,New York,New York city,EIT,0,3,Bachelors Degree,,200,Structural Engineer ,Full Time,Structural,Public,1,75000,N/A,N/A,0,0,0,Yes but I still pay a premium,15 days,2,42,Time and a half (1.5x),Yes,No,No,5,80000,Pay too low,Male,Not sure,
8/27/2023 13:28:53,United States of America,,,,,,,,,Washington,Seattle,PE,0,3,Bachelors Degree,,1200,Project Manager,Full Time,Bridges,Public,15,147000,N/A,N/A,,70000,0,Yes but I still pay a premium,32,2,50,Straight time (1.0x),No,No,No,8,300000,,Male,0,
8/27/2023 13:32:08,United Kingdom,West Midlands,Birmingham ,No,,,,,,,,,,,Masters Degree,PM Group,3000,Civil Structural Engineer ,Full Time,Structural,Private,3,38000,N/A,100%,1000,1700,0,Yes and fully covered,23,2,39,Not compensated (Exempt),No,No,No,7,50000,,Male,Unsure,
8/27/2023 13:33:03,United States of America,,,,,,,,,Michigan,Detroit,PE,8,3,Bachelors Degree,,100,Staff Engineer,Full Time,Environmental,Private,2,70720,N/A,N/A,,1000,0,Yes but I still pay a premium,15,Any,40,Straight time (1.0x),No,No,No,6,85000,,Male,160,
8/27/2023 13:37:35,United States of America,,,,,,,,,New York,Rochester,EIT,0,7,Bachelors Degree,,1500,Engineer 3,Full Time,Transportation,Private,3,82000,N/A,95,,0,0,Yes but I still pay a premium,15,1,40,Straight time (1.0x),No,Yes,No,7,95000,,Male,Unknown ,
8/27/2023 13:38:53,United States of America,,,,,,,,,Missouri,Saint Louis,PE,5,5,Bachelors Degree,US Army Corps of Engineers,37000,Civil Engineer (Design),Full Time,Water Resources,Public,5,98000,131,93,0,2500,0,Yes but I still pay a premium,33,3,40,Straight time (1.0x),No,Yes,No,8,130000,No,Male,480,
8/27/2023 13:39:05,United States of America,,,,,,,,,North Carolina,Charlotte ,PE,0,10,Masters Degree,,28000,Senior Engineer ,Full Time,Geotechnical,Private,11,111500,N/A,N/A,0,16000,0,Yes but I still pay a premium,30,1,40,Not compensated (Exempt),No,Yes,No,10,140000,,Male,240,
8/27/2023 13:44:39,United Kingdom,South East,Ashford ,No,,,,,,,,,,,Masters Degree,Multiconsult,3500,Senior Hydropower Engineer,Full Time,Hydropower,Private,14,66300,N/A,70,,0,0,Yes and fully covered,35,3,40,The hours can be taken later as leave,No,No,No,9,85000,,Male,They offer but I don't have the information now,
8/27/2023 13:45:52,Canada,,,,Alberta,NA,PE,,,,,,,,Masters Degree,,10000+,Bridge engineer,Full Time,Bridges,Public,5,100000,N/A,N/A,,0,0,Yes but I still pay a premium,28,2,37,Not compensated (Exempt),No,No,No,7,140000,,Prefer not to say,0,
8/27/2023 13:46:11,United States of America,,,,,,,,,New York,New York City,EIT,4,4,Bachelors Degree,,50,Civil Engineer II,Full Time,Transportation,Private,4,95000,N/A,N/A,0,5000,0,Yes and fully covered,25,2 (with supervisor noticed 2 weeks in advance),45,Straight time (1.0x),No,No,No,7,110000,"Taking PE, mostly working Design Production Manager instead of CAD/Design Work ",Male,8 weeks,
8/27/2023 13:49:35,United Kingdom,London,London ,No,,,,,,,,,,,Masters Degree,Jacobs,55000,Graduate civil engineer,Full Time,Water Resources,Public,1,33000,N/A,N/A,0,0,0,Yes and fully covered,28,3,40,Not compensated (Exempt),No,No,No,9,38000,,Male,Not sure,
8/27/2023 13:50:00,United States of America,,,,,,,,,California,Fresno,EIT,0,0,Bachelors Degree,,40,Engineer II,Full Time,Transportation,Public,2,100500,N/A,N/A,,0,0,Yes and fully covered,24,1,40,Time and a half (1.5x),No,No,No,9,130000,2% at 55 Retirement,Male,320,
8/27/2023 13:50:09,United States of America,,,,,,,,,Washington,Seattle,PE,6,5,Bachelors Degree,Kpg Psomas,600,Project Engineer,Full Time,Transportation,Private,10,99500,150,N/A,,2000,0,Yes but I still pay a premium,20,2,40,Straight time (1.0x),No,No,No,6,120000,,Male,Idk,
8/27/2023 13:52:20,United States of America,,,,,,,,,Texas,Dallas,EIT,10,3,Masters Degree,,250,Graduate Engineer,Full Time,Water Resources,Private,0.5,65000,100,85,5000,0,0,Yes but I still pay a premium,21,5,40,Straight time (1.0x),No,Yes,No,9,73000,,Male,0,
8/27/2023 13:58:39,United States of America,,,,,,,,,New Jersey,Newark,PE,0,6,Masters Degree,,100000+,Engineering Manager,Full Time,Environmental,Private,7.5,145000,N/A,N/A,15000,28000,0,Yes but I still pay a premium,Unlimited,1-2,45,Not compensated (Exempt),No,Yes,Yes,9,175000,,Female,,12 weeks
8/27/2023 14:00:11,United States of America,,,,,,,,,Ohio,Cincinnati,EIT,0,5,Masters Degree,,100,Design Engineer,Full Time,Structural,Private,2,71000,142,86,3000,2500,0,Yes but I still pay a premium,16,3,43,Straight time (1.0x),No,Yes,No,8,82000,,Male,80,
